field_number,collector,species,locality,altitude,date,notes
GBG 88/401,German Brazil Group,pilosocereus pachycladus,"Brejinho das Amethistas, Bahia, Brazil",1988,1988,"=HU421, GH401, UES52"
GBG 88/421,German Brazil Group,pilosocereus pachycladus,"Mucugê, Bahia, Brazil",1988,1988,"=HU891, GH421, UES77"
GBG 88/445,German Brazil Group,pilosocereus pachycladus,"Seabra, Bahia, Brazil",1988,1988,"=HU906, GH445, UES102"
GC 1007.01,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA
GC 1008.07,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA
GC 1009.03,Graham Charles,pilosocereus pachycladus,North of Gruta dos Brejões,NA,NA,NA
GC 1013.06,Graham Charles,pilosocereus pachycladus,West of Seabra,NA,NA,NA
GC 1014.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA
GC 1015.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA
GC 1017.05,Graham Charles,pilosocereus pachycladus,Iuiú,NA,NA,NA
GC 1018.02,Graham Charles,pilosocereus pachycladus,Caetité,NA,NA,NA
GC 1019.05,Graham Charles,pilosocereus pachycladus,Brejinho das Ametistas,NA,NA,NA
GC 1020.07,Graham Charles,pilosocereus pachycladus,North of Licinio de Almeida,NA,NA,NA
GC 1021.06,Graham Charles,pilosocereus pachycladus,Serra Escura,NA,NA,NA
GC 1026.06,Graham Charles,pilosocereus pachycladus,Pedra Azul,cenepequei,cenepequei,cenepequei
GC 1027.05,Graham Charles,pilosocereus pachycladus,East of Montes Claros,cenepequei,cenepequei,cenepequei
GC 1032.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA
GC 352.1,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA
GC 353.06,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA
GC 354.05,Graham Charles,pilosocereus pachycladus,West of Morro do Chapéu,NA,NA,NA
GC 358.03,Graham Charles,pilosocereus pachycladus,Vargea Nova,NA,NA,NA
GC 368.05,Graham Charles,pilosocereus pachycladus,West of Petrolina,NA,NA,NA
GC 369.04,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA
GC 370.03,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA
GC 371.04,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA
GC 378.03,Graham Charles,pilosocereus pachycladus,Xiche Xiche,NA,NA,NA
GC 380.06,Graham Charles,pilosocereus pachycladus,Mata dos Mendes,NA,NA,NA
GC 381.04,Graham Charles,pilosocereus pachycladus,Piaté,NA,NA,NA
GC 492.06,Graham Charles,pilosocereus pachycladus,West of Itaobim,woolly,woolly,woolly
GC 516.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA
GC 519.06,Graham Charles,pilosocereus pachycladus,North of Licinio de Armeida,NA,NA,NA
GC 520.04,Graham Charles,pilosocereus pachycladus,South-West of Brejinho das Ametistas,NA,NA,NA
GC 522.09,Graham Charles,pilosocereus pachycladus,Porto Novo,NA,NA,NA
GC 524.06,Graham Charles,pilosocereus pachycladus,West of Seabra,NA,NA,NA
GC 527.06,Graham Charles,pilosocereus pachycladus,North of Morro do Chapéu,NA,NA,NA
GC 529.1,Graham Charles,pilosocereus pachycladus,North of Morro do Chapéu,NA,NA,NA
GC 643.07,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA
GC 644.05,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA
GC 645.1,Graham Charles,pilosocereus pachycladus,Morro do Chapéu,NA,NA,NA
GC 649.03,Graham Charles,pilosocereus pachycladus,Gruta dos Brejões,NA,NA,NA
GC 656.04,Graham Charles,pilosocereus pachycladus,Road to Barra,NA,NA,NA
GC 667.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA
GC 668.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA
GC 670.05,Graham Charles,pilosocereus pachycladus,Iuiú,NA,NA,NA
GC 671.02,Graham Charles,pilosocereus pachycladus,Caetité,NA,NA,NA
GC 672.04,Graham Charles,pilosocereus pachycladus,Brejinho das Ametistas,NA,NA,NA
GC 673.06,Graham Charles,pilosocereus pachycladus,North of Licinio de Almeida,NA,NA,NA
GC 674.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA
GC 675.02,Graham Charles,pilosocereus pachycladus,Barrocão,NA,NA,NA
GC 678.06,Graham Charles,pilosocereus pachycladus,West of Pedra Azul,NA,NA,NA
GC 685.05,Graham Charles,pilosocereus pachycladus,Sussuarana,NA,NA,NA
GD 102-4,Gérard Delanoy,pilosocereus pachycladus,"Serra Obscura, East of Sussuarana, Bahia, Brazil",NA,NA,NA
GD 22-2,Gérard Delanoy,pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA,NA
GD 22-5,Gérard Delanoy,pilosocereus pachycladus,"Road leaving BR052, returning towards Morro de Chapeu, Bahia, Brazil",NA,NA,NA
GD 24-8,Gérard Delanoy,pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA,NA
GD 27-3,Gérard Delanoy,pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA,NA
GD 28-2,Gérard Delanoy,pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA,NA
GD 47a-3,Gérard Delanoy,pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA,NA
GD 47b-2,Gérard Delanoy,pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA,NA
GD 51-4,Gérard Delanoy,pilosocereus pachycladus,"15km North of Porto-Novo, Bahia, Brazil",NA,NA,NA
GD 54-2,Gérard Delanoy,pilosocereus pachycladus,"20km South of Iulu, Bahia, Brazil",NA,NA,NA
GD 57-3,Gérard Delanoy,pilosocereus pachycladus,"BR030, 5km after Guanambi, Bahia, Brazil",NA,NA,NA
GD 58-2,Gérard Delanoy,pilosocereus pachycladus,"South of Caitité, road towards Brejinho das Amethystas, Bahia, Brazil",NA,NA,NA
GD 59-3,Gérard Delanoy,pilosocereus pachycladus,"Brejinho das Amethystas, Bahia, Brazil",NA,NA,NA
GD 60-4,Gérard Delanoy,pilosocereus pachycladus,"after Jurema, Bahia, Brazil",NA,NA,NA
GD 64-3,Gérard Delanoy,pilosocereus pachycladus,"5km after GD63, Minas Gerais, Brazil",NA,NA,NA
GH 118,Gerhard Heimken,pilosocereus pachycladus,"Mato Verde to Rio Pardo de Minas, Minas Gerais, Brazil",1981/08,1981/08,NA
GH 134a,Gerhard Heimken,pilosocereus pachycladus,"Lecinho de Almerida to Caetité, Bahia, Brazil",1981/08/17,1981/08/17,NA
GJA 7.13,Gérard Ardisson,pilosocereus pachycladus,"America Dourada, Bahia, Brazil",May-07,May-07,NA
GJA 7.37,Gérard Ardisson,pilosocereus pachycladus,"Morro do Chapeu, Bahia, Brazil",May-07,May-07,NA
