field_number,collector,species,locality,altitude,date,notes
BR 623,Pierre Josef Braun,stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",1986/07,1986/07,NA
BU 623,Pierre Josef Braun,stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",1986/07,1986/07,NA
CS 371.2,Chris Sherrah,stephanocereus luetzelburgii,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,"BB096 location, syn Lagenosocereus"
CS 372.1,Chris Sherrah,stephanocereus luetzelburgii,"Mucage, Bahia, Brasil",1050m,25/11/2009,"BB095 location, syn Lagenosocereus"
GJA 7.05,Gérard Ardisson,stephanocereus luetzelburgii,"Mucugé, Bahia, Brazil",May-07,May-07,NA
HU 136,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Seabra, Bahia, Brazil","= Pilocereus, Coleocephalocereus","= Pilocereus, Coleocephalocereus","= Pilocereus, Coleocephalocereus"
HU 1396,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Piat?, Bahia, Brazil",NA,NA,NA
HU 1498,"Leopoldo Horst,, later, Kurt-Ingo Horst",stephanocereus luetzelburgii,"Pico das Almas, Bahia, Brazil",NA,NA,NA
