field_number,collector,species,locality,altitude,date,notes
RS 1180,Roman Staník,astrophytum myriostigma,"camping next to Las Tablas, direction to El Sabino, San Luis Potosi, Mexico",NA,NA,NA
RS 1211,Roman Staník,astrophytum myriostigma v. strongylogonum,13km from Guadalcazar direction to 57,22/6/04,22/6/04,NA
RS 1221,Roman Staník,astrophytum myriostigma fma. seminudum,"Nuñez, San Luis Potosi, Mexico",NA,NA,NA
RS 1224,Roman Staník,astrophytum myriostigma v. nudum,6.7km from junction to Santa Rita,NA,NA,NA
RS 1304,Roman Staník,astrophytum myriostigma fma. quadricostatum,"San Antonio-Puente Chihuae, Tamaulipas, Mexico",NA,NA,NA
RS 1310,Roman Staník,astrophytum myriostigma,"hill before Las Tablas, San Luis Potosi, Mexico",NA,NA,NA
RS 1314,Roman Staník,astrophytum myriostigma,"behind Las Tablas direction to Cardenas, San Luis Potosi, Mexico",NA,NA,NA
RS 1317,Roman Staník,astrophytum myriostigma,"before El Sabino, San Luis Potosi, Mexico",NA,NA,NA
RS 144,Roman Staník,astrophytum myriostigma v. tulense,"Mama León, near Tula, Tamaulipas, Mexico",26/10/86,26/10/86,NA
RS 148,Roman Staník,astrophytum myriostigma v. potosinum,"Pressa de Guadalupe, San Luis Potosi, Mexico",NA,NA,NA
RS 225,Roman Staník,astrophytum myriostigma,"junction to Matias Garcia behind Jaumave, Tamaulipas, Mexico","plants with 6 ribs, = CSD49","plants with 6 ribs, = CSD49","plants with 6 ribs, = CSD49"
RS 247,Roman Staník,astrophytum myriostigma,"road to Buenavista Ranch, San Luis Potosi, Mexico",= CSD75,= CSD75,= CSD75
RS 257,Roman Staník,astrophytum myriostigma v. strongylogonum,"Charco Blanco, San Luis Potosi, Mexico","some plants as flat as asterias, = CSD85","some plants as flat as asterias, = CSD85","some plants as flat as asterias, = CSD85"
RS 526,Roman Staník,astrophytum myriostigma v. tulense,"km17, Route 101, South of Tula, Tamaulipas, Mexico /San Luis Potosi, Mexico",29/10/95,29/10/95,NA
RS 531,Roman Staník,astrophytum myriostigma v. tulense,"km68, Route 80, direction to Ciudad Maiz, San Luis Potosi, Mexico",NA,NA,NA
RS 533,Roman Staník,astrophytum myriostigma v. tulense,"km96, Route 80, San Luis Potosi, Mexico",NA,NA,NA
RS 872,Roman Staník,astrophytum myriostigma v. columnare,"Huizache, San Luis Potosi, Mexico","forgotten no. from earlier years, assigned now","forgotten no. from earlier years, assigned now","forgotten no. from earlier years, assigned now"
SB 1167,Steven (Steve) Brack,astrophytum myriostigma v. strongylogonum,"Villar, San Luis Potosi, Mexico",NA,NA,NA
SB 126,Steven (Steve) Brack,astrophytum myriostigma v. strongylogonum,"San Luis Potosi, San Luis Potosi, Mexico",NA,NA,NA
SB 262,Steven (Steve) Brack,astrophytum myriostigma,"Coronel, San Luis Potosi, Mexico",NA,NA,NA
SB 264,Steven (Steve) Brack,astrophytum myriostigma,"Jaumave, Tamaulipas, Mexico",NA,NA,NA
SB 340,Steven (Steve) Brack,astrophytum myriostigma v. columnare,"Huizache, San Luis Potosi, Mexico",NA,NA,NA
SH 1017,Dennis Sargant (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. quadricostatum,"Jaumave, Tamaulipas, Mexico",600m,17/10/1974,together with Mammillaria viereckii
SH 1024,Dennis Sargant (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. columnare,"Miquihuana, Tamaulipas, Mexico",1900m,22/11/1974,"together with Neolloydia conoidea, Mammillaria candida"
SH 1183,Dennis Sargant (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. nudum,"Sierra de Santa Rita-Jauja, San Luis Potosi, Mexico",1600-1800m,17/10/1978,"together with L1184, L1185"
SH 727,Dennis Sargant (plants collected by Alfred Bernhard Lau),astrophytum myriostigma,"Las Tablas, San Luis Potosi, Mexico",1400m,2/11/1974,"together with L723, L724, L725, L726"
SH 728,Dennis Sargant (plants collected by Alfred Bernhard Lau),astrophytum myriostigma v. strongylogonum,"Villar, San Luis Potosi, Mexico",1500m,13/11/1974,"together with Gymnocactus knuthianus, Mammillaria aureilanata"
WCO 28,Wolfgang Colotti,astrophytum myriostigma,"El Huizache, San Luis Potosi, Mexico",1971,1971,NA
WCO 29,Wolfgang Colotti,astrophytum myriostigma,Cerro de la Bola,1971,1971,NA
Z 119,Carlo Zanovello,astrophytum myriostigma,"Los Ebanos, Tamaulipas, Mexico",NA,NA,NA
