field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"Souza to Pombal, Fazienda Tigre, Paraiba, Brazil",NA,NA,NA
NA,NA,NA,"Tamboril, Ceará, Brazil",NA,NA,NA
NA,NA,NA,Brazil,NA,NA,NA
