field_number,collector,species,locality,altitude,date,notes
BB 1978.02,Brian Francis Bates,eriosyce wagenknechtii,"East of La Serena, down dirt road, 04 Coquimbo, Chile",62m,18/11/2014,same locality as BJB14-61
GC 706.02,Graham Charles,eriosyce wagenknechtii,South of Los Hornos,NA,NA,NA
GC 96.03,Graham Charles,eriosyce wagenknechtii,Punta Hornus,NA,NA,NA
JN 1236,Jan Novák,eriosyce wagenknechtii,"Coquimbito, 04 Coquimbo, Chile",87m,NA,NA
JN 1631,Jan Novák,eriosyce wagenknechtii,"El Islon, 04 Coquimbo, Chile",NA,NA,NA
JN 1942,Jan Novák,eriosyce wagenknechtii,"Quebrada El Romeral, 04 Coquimbo, Chile",Trichocereus,Trichocereus,Trichocereus
