field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"Big Bend National Park, Texas, USA",NA,NA,NA
NA,NA,NA,"Alpine South Texas, USA",1219m,NA,NA
NA,NA,NA,"Panther Junction, East Tornillo Creek, Texas, USA",625m,NA,NA
NA,NA,NA,"Panther Junction, East Tornillo Creek, Texas, USA",610m,NA,NA
NA,NA,NA,"South-West of Big Bend National Park HQ, Texas, USA",1158m,NA,NA
NA,NA,NA,"South of Marathon, Texas, USA",914m,NA,NA
NA,NA,NA,"West of Langtry, Texas, USA",488m,NA,NA
NA,NA,NA,"Brewster County, Texas, USA",NA,NA,NA
NA,NA,NA,"Matehuala, Nuevo Leon, Mexico",NA,NA,NA
NA,NA,NA,"hills just East of Sanderson, Texas, USA",NA,NA,NA
NA,NA,NA,"hills South-West of Parras, by church, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Sierra de la Paila, km 496, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"mountain, South-West border of Laguna de Viesca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,Cuatrocienegas,790m,large tubercles,large tubercles
NA,NA,NA,El Hundido,770m,NA,NA
NA,NA,NA,Palmas Matehuala,1500m,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Texas, USA",NA,NA,NA
NA,NA,NA,"Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Coyame, Chihuahua, Mexico",1700m,28/4/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
NA,NA,NA,"San Rafael, Durango, Mexico",15/10/2007,15/10/2007,= IDD48/03
NA,NA,NA,"Palmas, before Matehuala, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= CSD107
NA,NA,NA,"Parras, Coahuila, Mexico",12/05/1997,12/05/1997,= CSD220
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",14/05/1997,14/05/1997,= CSD245
NA,NA,NA,"Km 162, towards Cuatro Cienegas, Coahuila, Mexico",28/10/2000,28/10/2000,NA
NA,NA,NA,"San Rafael, Durango, Mexico",15/10/2007,15/10/2007,= IDD1001
NA,NA,NA,"30 miles South of Alpine, Texas, USA",3500feet,March 1960,Collected by W. H. Davis
NA,NA,NA,"Near Parras de la Fuente, Coahuila, Mexico",March 1972,March 1972,Collected by C. Aguirre. See C&SJ 37:43
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Monclova, Nuevo Leon, Mexico",NA,NA,NA
NA,NA,NA,"North of Sierra de la Paila, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Parras de la Fuente, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Viesca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"South of Sierra de la Paila, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"East of Saltillo, Coahuila, Mexico",NA,NA,NA
