field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CH 345,Jaromír Chvastek,ariocarpus fissuratus v. hintonii,"Palmas, San Luis Potosí, Mexico",1994/10/23,1994/10/23,NA,bcss,"Palmas, San Luis Potosí, Mexico",direct,23.5971795,-100.6591865
CH 562,Jaromír Chvastek,ariocarpus fissuratus,"Cuatrocienegas, Coahuila, Mexico",725m,1995/5/5,NA,bcss,"Cuatrocienegas, Coahuila, Mexico",direct,25.4451986,-100.9929376
CH 578,Jaromír Chvastek,ariocarpus fissuratus,"Bermejillo, Durango, Mexico",88m,1995/5/7,NA,bcss,"Bermejillo, Durango, Mexico",direct,25.8898063,-103.6195205
CS 102.2,Chris Sherrah,ariocarpus fissuratus,"Cuatrocienegas, Coahuila, Mexico",797m,05/06/2007,NA,bcss,"Cuatrocienegas, Coahuila, Mexico",direct,25.4451986,-100.9929376
CS 1127.1,Chris Sherrah,ariocarpus fissuratus,"Alacran Randi, Coahuila, Mexico",768m,17/05/2024,IDD1166 location,bcss,"Alacran Randi, Coahuila, Mexico",direct,26.769526944,-101.332823333
CS 1128.5,Chris Sherrah,ariocarpus fissuratus,"Cuatro Cienegas SW, Coahuila, Mexico",743m,17/05/2024,NA,bcss,"Cuatro Cienegas SW, Coahuila, Mexico",direct,26.699103866,-102.298982671
CS 1129.2,Chris Sherrah,ariocarpus fissuratus,"El Hundido, Coahuila, Mexico",815m,17/05/2024,IDD393 location,bcss,"El Hundido, Coahuila, Mexico",direct,26.6095619,-102.3034754
CS 1130.4,Chris Sherrah,ariocarpus fissuratus,"Bermejillo, Durango, Mexico",1233m,18/05/2024,LRM474 location,bcss,"Bermejillo, Durango, Mexico",direct,25.8898063,-103.6195205
CS 845.13,Chris Sherrah,ariocarpus fissuratus,"Lajitas, Texas, USA",785m,11/05/2016,"BB2113, PK-S1780 location",bcss,"Lajitas, Texas, USA",direct,29.26222,-103.775817
CS 846.4,Chris Sherrah,ariocarpus fissuratus,"Terlingua, Texas, USA",804m,12/05/2016,BB2114 location,bcss,"Terlingua, Texas, USA",direct,29.321586,-103.616019
CS 847.2,Chris Sherrah,ariocarpus fissuratus,"Terlingua 2, Texas, USA",803m,12/05/2016,BB location,bcss,"Terlingua 2, Texas, USA",direct,29.317234,-103.610209
CS 848.4_412,Chris Sherrah,ariocarpus fissuratus,"Terlingua 3, Texas, USA",846m,12/05/2016,BB2115 location,bcss,"Terlingua 3, Texas, USA",direct,29.321586,-103.616019
CS 852.14,Chris Sherrah,ariocarpus fissuratus,"Big Bend NP 4, Texas, USA",611m,14/05/2016,"BB2119, PK-S2255 location",bcss,"Big Bend NP 4, Texas, USA",direct,29.5199108,-98.6861826
CS 853.4,Chris Sherrah,ariocarpus fissuratus,"Big Bend NP 5, Texas, USA",614m,14/05/2016,BB2120 location,bcss,"Big Bend NP 5, Texas, USA",direct,29.5199108,-98.6861826
CS 854.9,Chris Sherrah,ariocarpus fissuratus,"Big Bend NP 6, Texas, USA",590m,15/05/2016,"BB2121, CH-USA2009-027 location",bcss,"Big Bend NP 6, Texas, USA",direct,29.5199108,-98.6861826
CS 856.7_420,Chris Sherrah,ariocarpus fissuratus,"Big Bend NP 8, Texas, USA",1047m,16/05/2016,"BB2123, PK-S2255, RP92 location",bcss,"Big Bend NP 8, Texas, USA",direct,29.5199108,-98.6861826
CS 857.2,Chris Sherrah,ariocarpus fissuratus,"Big Bend NP 9, Texas, USA",786m,16/05/2016,BB2124 location,bcss,"Big Bend NP 9, Texas, USA",direct,29.5199108,-98.6861826
CS 98.1,Chris Sherrah,ariocarpus fissuratus v. lloydii,"Parras, Coahuila, Mexico",1580m,03/06/2007,NA,bcss,"Parras, Coahuila, Mexico",direct,25.591946,-102.3839713
CSD 107,"Jaromír Chvastek, Roman Staník, Igor Dráb",ariocarpus fissuratus v. hintonii,"Palmas, before Matehuala, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= IDD112,bcss,"Palmas, before Matehuala, San Luis Potosí, Mexico",direct,23.595880556,-100.657021111
CSD 220,"Jaromír Chvastek, Roman Staník, Igor Dráb",ariocarpus fissuratus v. lloydii,"Parras, Coahuila, Mexico",12/05/1997,12/05/1997,= IDD229,bcss,"Parras, Coahuila, Mexico",direct,25.591946,-102.3839713
CSD 245,"Jaromír Chvastek, Roman Staník, Igor Dráb",ariocarpus fissuratus,"Cuatro Cienegas, Coahuila, Mexico",14/05/1997,14/05/1997,= IDD260,bcss,"Cuatro Cienegas, Coahuila, Mexico",direct,26.6665018,-102.3791854
DU 107,Ulrich Dosedal,ariocarpus fissuratus sp.,"A bit east of the Northern road, about 20 to 30km North of Estancia Marte Coahuila, Mexico",= DO83,= DO83,= DO83,bcss,"A bit east of the Northern road, about 20 to 30km North of Estancia Marte Coahuila, Mexico",direct,25.695818055,-101.766312222
DU 119,Ulrich Dosedal,ariocarpus fissuratus,"km 44 of the Road to the West of the Microwave tower at Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA,bcss,"km 44 of the Road to the West of the Microwave tower at Cuatro Cienegas, Coahuila, Mexico",direct,26.699103866,-102.298982671
DU 132,Ulrich Dosedal,ariocarpus fissuratus ssp. lloydii,"Hill at Western edge of Parras, Coahuila, Mexico",1185m,= DO129A,= DO129A,bcss,"Hill at Western edge of Parras, Coahuila, Mexico",direct,25.4357272522,-102.160091575944
DU 133,Ulrich Dosedal,ariocarpus fissuratus ssp. intermedius?,"Towards Chem. El Ray, North of San Pedro de Las Colonias, Coahuila, Mexico",1321m,= DO132A,= DO132A,bcss,"Towards Chem. El Ray, North of San Pedro de Las Colonias, Coahuila, Mexico",direct,25.75602,-102.98385
DU 3,Ulrich Dosedal,ariocarpus fissuratus,"on hill, about 30km West of Cuatrocienegas up to Microonda, Coahuila, Mexico",NA,NA,NA,bcss,"on hill, about 30km West of Cuatrocienegas up to Microonda, Coahuila, Mexico",direct,26.98542,-102.06386
DU 6,Ulrich Dosedal,ariocarpus fissuratus v. hintonii,"La Palma, South of Matehuala, San Luis Potosi, Mexico",NA,NA,NA,bcss,"La Palma, South of Matehuala, San Luis Potosi, Mexico",direct,23.650942671256,-100.636304473615
DU 88,Ulrich Dosedal,ariocarpus fissuratus v. lloydii,"El Amparo 500m towards Parras, Coahuila, Mexico",NA,NA,NA,bcss,"El Amparo  towards Parras, Coahuila, Mexico",direct,25.452269167,-102.586846389
DU 89,Ulrich Dosedal,ariocarpus fissuratus v. intermedius?,"Cuatrocienegas MEX30 towards San Pedro, near """"balneario"""", Coahuila, Mexico",NA,NA,NA,bcss,"Cuatrocienegas MEX30 towards San Pedro, near """"balneario"""", Coahuila, Mexico",direct,26.76771,-101.484684722
EFA 1031,Edward Frederick Anderson,ariocarpus fissuratus,"South of Alpine, Texas, USA",1219m,NA,NA,bcss,"Alpine, Texas, USA",direction_only,30.3602181,-103.6628596
EFA 1045,Edward Frederick Anderson,ariocarpus fissuratus,"West of Lajitas Junction, Texas, USA",762m,NA,NA,bcss,"Lajitas Junction, Texas, USA",direction_only,29.261841,-103.776295
EFA 1047,Edward Frederick Anderson,ariocarpus fissuratus,"Near Parras, Coahuila, Mexico",NA,NA,NA,bcss,"Near Parras, Coahuila, Mexico",direct,25.503871718,-102.114668029
EFA 1054,Edward Frederick Anderson,ariocarpus fissuratus,"Big Bend National Park San Vicente (old road), Texas, USA",503m,NA,NA,bcss,"Big Bend National Park San Vicente (old road), Texas, USA",direct,29.322232,-103.209863
EFA 1059,Edward Frederick Anderson,ariocarpus fissuratus,"Marathon South Texas, USA",914m,NA,NA,bcss,"Marathon South Texas, USA",direct,30.2051103,-103.2459607
EFA 1062,Edward Frederick Anderson,ariocarpus fissuratus,"West of Langtry turn, Texas, USA",427m,NA,NA,bcss,"Langtry turn, Texas, USA",direction_only,29.565715041312,-98.524666166974
EFA 1072,Edward Frederick Anderson,ariocarpus fissuratus v. lloydii,"South-East of Parras, Coahuila, Mexico",1372m,NA,NA,bcss,"Parras, Coahuila, Mexico",direction_only,25.591946,-102.3839713
EFA 1247,Edward Frederick Anderson,ariocarpus fissuratus v. lloydii,"South-West of Parras, Coahuila, Mexico",1524m,NA,NA,bcss,"Parras, Coahuila, Mexico",direction_only,25.591946,-102.3839713
EFA 1685,Edward Frederick Anderson,ariocarpus fissuratus,"Langtry, Texas, USA",427m,NA,NA,bcss,"Langtry, Texas, USA",direct,29.8085361,-101.5587249
EFA 1685,Edward Frederick Anderson,ariocarpus fissuratus,"Judge Roy Bean Museum, Texas, USA",NA,NA,NA,bcss,"Judge Roy Bean Museum, Texas, USA",direct,29.8092246,-101.560466
EFA 5018,Edward Frederick Anderson,ariocarpus fissuratus,"Estancia Marte, Coahuila, Mexico",NA,NA,NA,bcss,"Estancia Marte, Coahuila, Mexico",direct,26.8864425,-101.4044763
EFA 6192,Edward Frederick Anderson,ariocarpus fissuratus,"Big Bend National Park, Texas, USA",NA,NA,NA,bcss,"Big Bend National Park, Texas, USA",direct,29.3332484,-103.1943284
EFA 931,Edward Frederick Anderson,ariocarpus fissuratus,"Alpine South Texas, USA",1219m,NA,NA,bcss,"Alpine South Texas, USA",direct,30.3570039,-103.6615786
EFA 933,Edward Frederick Anderson,ariocarpus fissuratus,"Panther Junction, East Tornillo Creek, Texas, USA",625m,NA,NA,bcss,"Panther Junction, East Tornillo Creek, Texas, USA",direct,29.992226016341,-98.062197589778
EFA 935,Edward Frederick Anderson,ariocarpus fissuratus,"Panther Junction, East Tornillo Creek, Texas, USA",610m,NA,NA,bcss,"Panther Junction, East Tornillo Creek, Texas, USA",direct,29.992226016341,-98.062197589778
EFA 941,Edward Frederick Anderson,ariocarpus fissuratus,"South-West of Big Bend National Park HQ, Texas, USA",1158m,NA,NA,bcss,"Big Bend National Park HQ, Texas, USA",direction_only,29.334465684059,-103.256645897989
EFA 943,Edward Frederick Anderson,ariocarpus fissuratus,"South of Marathon, Texas, USA",914m,NA,NA,bcss,"Marathon, Texas, USA",direction_only,30.2059642,-103.2445646
EFA 946,Edward Frederick Anderson,ariocarpus fissuratus,"West of Langtry, Texas, USA",488m,NA,NA,bcss,"Langtry, Texas, USA",direction_only,29.8085361,-101.5587249
GL 790,Gary Loos,ariocarpus fissuratus,"Brewster County, Texas, USA",NA,NA,NA,bcss,"Brewster County, Texas, USA",direct,29.8462742,-103.2400734
GL 795,Gary Loos,ariocarpus fissuratus v. hintonii,"Matehuala, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Matehuala, Nuevo Leon, Mexico",direct,25.6950798,-100.342431
GL&F 1630,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",ariocarpus fissuratus,"hills just East of Sanderson, Texas, USA",NA,NA,NA,bcss,"hills just East of Sanderson, Texas, USA",direct,30.1406783,-102.3969252
GL&F 1659,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",ariocarpus fissuratus v. lloydii,"hills South-West of Parras, by church, Coahuila, Mexico",NA,NA,NA,bcss,"hills South-West of Parras, by church, Coahuila, Mexico",direct,25.449052341491,-102.179349554786
GL&F 1688,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",ariocarpus fissuratus fma. intermedius,"Sierra de la Paila, km 496, Coahuila, Mexico",NA,NA,NA,bcss,"Sierra de la Paila, km 496, Coahuila, Mexico",direct,25.901326389,-101.742601667
GL&F 2183,"Charles (Charlie) Edward Glass, Robert Alan (Bob) Foster (also see notes)",ariocarpus fissuratus fma. intermedius,"mountain, South-West border of Laguna de Viesca, Coahuila, Mexico",NA,NA,NA,bcss,"mountain, South-West border of Laguna de Viesca, Coahuila, Mexico",direct,25.221868961,-102.924968307
GM 111,Grzegorz Matuszewski,ariocarpus fissuratus,Cuatrocienegas,790m,large tubercles,large tubercles,bcss,Cuatrocienegas,direct,20.7606614,-103.3807731
GM 239,Grzegorz Matuszewski,ariocarpus fissuratus,El Hundido,770m,NA,NA,bcss,El Hundido,direct,28.4002437,-104.5931576
GM 39,Grzegorz Matuszewski,ariocarpus fissuratus v. hintonii,Palmas Matehuala,1500m,NA,NA,bcss,Palmas Matehuala,direct,23.5971795,-100.6591865
HK 1239,Horst Kuenzler,ariocarpus fissuratus,"Texas, USA",NA,NA,NA,bcss,"Texas, USA",direct,31.2638905,-98.5456116
HK 1603,Horst Kuenzler,ariocarpus fissuratus v. lloydii,"Coahuila, Mexico",NA,NA,NA,bcss,"Coahuila, Mexico",direct,27.3333331,-102.0000001
