field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
PH 448.3,Paul Hoxey,eulychnia taltalensis,"Coast North of Taltal, Antofagasta, Chile",30m,23-Nov-02,NA,bcss,"Coast North of Taltal, Antofagasta, Chile",direct,-25.408105,-70.484284
PH 449.8,Paul Hoxey,eulychnia taltalensis,"Quebrada de San Ramón, Antofagasta, Chile",260-920m,23-Nov-02,Same locality as PH258,bcss,"Quebrada de San Ramón, Antofagasta, Chile",direct,-25.38226,-70.45201
PH 656.5,Paul Hoxey,eulychnia taltalensis,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile",440m,22-Nov-06,NA,bcss,"Punta Tragagente, quebrada North of Botija, Antofagasta, Chile",direct,-23.103225213989,-70.443314803039
PH 658.5,Paul Hoxey,eulychnia taltalensis,"Quebrada Iscuña, Antofagasta, Chile",410-970m,23-Nov-06,NA,bcss,"Quebrada Iscuña, Antofagasta, Chile",direct,-24.5277202,-70.4299846
PH 659.3,Paul Hoxey,eulychnia taltalensis,"North of Caleta Olivia, North of Taltal, Antofagasta, Chile",270m,24-Nov-06,NA,bcss,"Caleta Olivia, North of Taltal, Antofagasta, Chile",direction_only,-25.410336734685,-70.48995277323
PH 660.5,Paul Hoxey,eulychnia taltalensis,"Coastal hills North of Paposo, Antofagasta, Chile",1220m,24-Nov-06,NA,bcss,"Coastal hills North of Paposo, Antofagasta, Chile",direct,-25.0078338,-70.4647483
PH 662.3,Paul Hoxey,eulychnia taltalensis,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile",770-860m,25-Nov-06,NA,bcss,"Quebrada Bandurrias, South of Paposo, Antofagasta, Chile",direct,-23.583196517415,-70.392991345643
PH 663.4,Paul Hoxey,eulychnia taltalensis,"Quebrada Agua de Cascabeles, Antofagasta, Chile",560-780m,26-Nov-06,NA,bcss,"Quebrada Agua de Cascabeles, Antofagasta, Chile",direct,-25.2803207,-70.3290791
PH 664.3,Paul Hoxey,eulychnia taltalensis,"Quebrada Taltal, inland from Taltal, Antofagasta, Chile",560m,26-Nov-06,NA,bcss,"Quebrada Taltal, inland from Taltal, Antofagasta, Chile",direct,-25.557547807982,-70.356120171141
PH 665.4,Paul Hoxey,eulychnia taltalensis,"Quebrada de San Ramón, Antofagasta, Chile",30-580m,27-Nov-06,NA,bcss,"Quebrada de San Ramón, Antofagasta, Chile",direct,-25.38226,-70.45201
