field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
"GC 357,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA,NA,clcactus,"Morro do Chapéu, Brazil",direct,-11.5500293,-41.1570248
"GC 380,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Mata dos Mendes),NA,NA,NA,clcactus,"Mata dos Mendes, Brazil",direct,-12.4254259,-41.9948939
"GC 381,03",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Piaté),NA,NA,NA,clcactus,"Piaté, Brazil",direct,-13.1545434,-41.7739181
"GC 382,03",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Mucugé),NA,NA,NA,clcactus,"Mucugé, Brazil",direct,-13.0053,-41.370271
"GC 524,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (W Seabra),NA,NA,NA,clcactus,"W Seabra, Brazil",direct,-12.4172071,-41.772051
"GC 529,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (N of Morro do Chapéu),NA,NA,NA,clcactus,"N of Morro do Chapéu, Brazil",direct,-11.5487212,-41.1596058
"GC 645,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA,NA,clcactus,"Morro do Chapéu, Brazil",direct,-11.5500293,-41.1570248
"GC 646,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA,NA,clcactus,"Morro do Chapéu, Brazil",direct,-11.5500293,-41.1570248
"GC 648,02",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (Morro do Chapéu),NA,NA,NA,clcactus,"Morro do Chapéu, Brazil",direct,-11.5500293,-41.1570248
"GC 1007,09",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (West of Morro do Chapéu),NA,NA,NA,clcactus,"West of Morro do Chapéu, Brazil",direct,-11.5487212,-41.1596058
"GC 1012,04",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (South of Morro do Chapéu),NA,NA,NA,clcactus,"South of Morro do Chapéu, Brazil",direct,-11.5487212,-41.1596058
"GC 1013,05",Graham Charles,Stephanocereus luetzelburgii,Brazil :  (West of Seabra),NA,NA,NA,clcactus,"West of Seabra, Brazil",direct,-12.4209057,-41.7689616
HU 136,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Seabra, Bahia, Brazil",NA,NA,NA,clcactus,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
HU 1396,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Piat?, Bahia, Brazil",NA,NA,NA,clcactus,"Piat?, Bahia, Brazil",direct,-13.1545434,-41.7739181
HU 1498,"Leopoldo Horst, later, Kurt-Ingo Horst",Stephanocereus luetzelburgii,"Pico das Almas, Bahia, Brazil",NA,NA,NA,clcactus,"Pico das Almas, Bahia, Brazil",direct,-13.5269323,-41.9681317
PCO 1189-01,Philippe Corman,Stephanocereus luetzelburgii,Brazil : Bahia (Morro do Chapeu),NA,2008,NA,clcactus,"Morro do Chapeu, Bahia, Brazil",direct,-11.5500293,-41.1570248
BR 623,Pierre Josef Braun,Stephanocereus luetzelburgii,Brazil : Bahia (Seabra),NA,1986/07,NA,clcactus,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
BU 623,Pierre Josef Braun,Stephanocereus luetzelburgii,Brazil : Bahia (Seabra),NA,1986/07,NA,clcactus,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
WCO 383,Wolfgang Colotti,Stephanocereus luetzelburgii,"Cachoeira do Fraga, Rio de Contas, Bahia",NA,05/06/09,NA,clcactus,"Cachoeira do Fraga, Rio de Contas, Bahia",direct,-13.5980533,-41.8290417
