field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CS 1053.9,Chris Sherrah,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",1573m,05/10/2022,DL998 location,bcss,"La Perdida, Tamaulipas, Mexico",direct,23.5459106,-99.858352
CS 111.4,Chris Sherrah,thelocactus conothelos v. auranticus,"East of Matehuala, San Luis Potosi, Mexico",1619m,16/06/2007,NA,bcss,"Matehuala, San Luis Potosi, Mexico",direction_only,23.5229037,-100.604046
CS 1112.12,Chris Sherrah,thelocactus conothelos,"Entronque Huizache, San Luis Potosi, Mexico",1443m,10/05/2024,GLASS&GLASS226 location,bcss,"Entronque Huizache, San Luis Potosi, Mexico",direct,22.149808894447,-100.90310915881
CS 1116.5,Chris Sherrah,thelocactus conothelos v. aurantiacus,"Arramberi, Nuevo Leon, Mexico",1239m,13/05/2024,NA,bcss,"Arramberi, Nuevo Leon, Mexico",direct,21.187978796347,-101.659449529192
CS 112.2,Chris Sherrah,thelocactus conothelos v. auranticus,"South of Matehuala, San Luis Potosi, Mexico",1610m,16/06/2007,NA,bcss,"Matehuala, San Luis Potosi, Mexico",direction_only,23.5229037,-100.604046
CS 73.10,Chris Sherrah,thelocactus conothelos 'sausseri',"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",1651m,24/05/2007,NA,bcss,"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",direct,23.6802125,-100.1964976
CS 73.8,Chris Sherrah,thelocactus conothelos 'sausseri',"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",1651m,24/05/2007,NA,bcss,"Matehuala to Doctor Arroyo, Nuevo Leon, Mexico",direct,23.6802125,-100.1964976
CS 87.2,Chris Sherrah,thelocactus conothelos,"north Matehuala, Nuevo Leon, Mexico",1817m,30/05/2007,NA,bcss,"north Matehuala, Nuevo Leon, Mexico",direct,26.52649484413,-100.493388949192
CSD 109,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",01/05/1997,01/05/1997,= IDD114,bcss,"Bad road behind Palmas, Guerrero, San Luis Potosí, Mexico",direct,21.550753611,-99.791512222
CSD 115,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",02/05/1997,02/05/1997,= IDD120,bcss,"Behind Matehuala towards Doctor Arroyo, La Soledad, San Luis Potosí, Mexico",direct,22.415,-101.154721944
CSD 122,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos fma. sausieri,"Towards Doctor Arroyo, Nuevo León, Mexico",02/05/1997,02/05/1997,= IDD127,bcss,"Towards Doctor Arroyo, Nuevo León, Mexico",direct,23.860108379,-100.306266485
CSD 123,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Lobera de Portillo, Nuevo León, Mexico",02/05/1997,02/05/1997,= IDD128,bcss,"Lobera de Portillo, Nuevo León, Mexico",direct,23.572674167,-100.213333056
CSD 129,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos,"Mier y Noriega, Nuevo León, Mexico",03/05/1997,03/05/1997,= IDD135,bcss,"Mier y Noriega, Nuevo León, Mexico",direct,23.4022432,-100.1389355
CSD 137,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos v. aurantiacus,"Aramberi, Nuevo León, Mexico",04/05/1997,04/05/1997,= IDD144,bcss,"Aramberi, Nuevo León, Mexico",direct,25.6681685,-100.1275011
CSD 149,"Jaromír Chvastek, Roman Staník, Igor Dráb",thelocactus conothelos v. aurantiacus,"Marmolejo, Aramberi, Nuevo León, Mexico",05/05/1997,05/05/1997,= IDD159,bcss,"Marmolejo, Aramberi, Nuevo León, Mexico",direct,24.134801111,-99.784346389
