field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
BB 102.01,Brian Francis Bates,Melocactus salvadorensis,"Brazil : Bahia (Mun. Jequié, Mun. Jequié  241m)",NA,1999/05/24,NA,clcactus,"Mun. Jequié, Mun. Jequié, Bahia, Brazil",direct,-13.8551593,-40.0916162
CS 365.1_125,Chris Sherrah,Melocactus salvadorensis,Brazil : Bahia (Jequie),NA,21/11/2009,NA,clcactus,"Jequie, Bahia, Brazil",direct,-13.8604033,-40.0719627
CS 366.13,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho, 260 m)",NA,22/11/2009,NA,clcactus,"Espinho,, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 367.5,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 2, 290 m)",NA,22/11/2009,NA,clcactus,"Espinho 2,, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 368.3,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Espinho 3, 343 m)",NA,22/11/2009,NA,clcactus,"Espinho 3,, Bahia, Brazil",direct,-14.0233944,-42.5057602
CS 371.4_135,Chris Sherrah,Melocactus salvadorensis,"Brazil : Bahia (Rio de Contas, 925 m)",NA,24/11/2009,NA,clcactus,"Rio de Contas,, Bahia, Brazil",direct,-13.5803333,-41.8112152
GJA 7.09,Gérard Ardisson,Melocactus salvadorensis,"ItiÃ®ra, Bahia, Brazil",NA,01/05/07,NA,clcactus,"ItiÃ®ra, Bahia, Brazil",direct,-12.475311328524,-41.721435781216
GD 100-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, Bahia, Brazil",NA,NA,NA,clcactus,"Sussuarana, Bahia, Brazil",direction_only,-14.1598189,-41.2063284
GD 101-1,Gérard Delanoy,Melocactus salvadorensis,"East of Sussuarana, 1 km after GD100, Bahia, Brazil",NA,NA,NA,clcactus,"Sussuarana, 1 km after GD100, Bahia, Brazil",direction_only,-13.281690982767,-42.602699018364
GD 105-2,Gérard Delanoy,Melocactus salvadorensis,"South-West of Jequié, Bahia, Brazil",NA,NA,NA,clcactus,"Jequié, Bahia, Brazil",direction_only,-13.8604033,-40.0719627
"GC 483,05",Graham Charles,Melocactus salvadorensis,Brazil :  (W. Jequié),NA,NA,NA,clcactus,"W. Jequié, Brazil",direct,-13.8604033,-40.0719627
"GC 486,05",Graham Charles,Melocactus salvadorensis,Brazil :  (Porto Alegre),NA,NA,NA,clcactus,"Porto Alegre, Brazil",direct,-30.0324999,-51.2303767
"GC 686,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA,NA,clcactus,"Sussuarana, Brazil",direct,-14.1598189,-41.2063284
"GC 1022,02",Graham Charles,Melocactus salvadorensis,Brazil :  (Sussuarana),NA,NA,NA,clcactus,"Sussuarana, Brazil",direct,-14.1598189,-41.2063284
