field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CS 178.2,Chris Sherrah,pilosocereus pachycladus,"America Dourada, Bahia, Brasil",879m,10/11/2007,NA,bcss,"America Dourada, Bahia, Brasil",direct,-11.3998963,-41.5247219
CS 180.2,Chris Sherrah,pilosocereus pachycladus,"America Dourada, Bahia, Brasil",882m,01/12/2009,near BB85 location,bcss,"America Dourada, Bahia, Brasil",direct,-11.3998963,-41.5247219
CS 357.1,Chris Sherrah,pilosocereus pachycladus,"Itinga, Minas Gerais, Brasil",300m,18/11/2009,BB109 location,bcss,"Itinga, Minas Gerais, Brasil",direct,-16.6066757,-41.7702077
CS 358.1_115,Chris Sherrah,pilosocereus pachycladus,"Itinga 2, Minas Gerais, Brasil",300m,18/11/2009,BB110 location,bcss,"Itinga 2, Minas Gerais, Brasil",direct,-16.6066757,-41.7702077
CS 363.1_122,Chris Sherrah,pilosocereus pachycladus,"Pedra Azul 4, Minas Gerais, Brasil",670m,19/11/2009,NA,bcss,"Pedra Azul 4, Minas Gerais, Brasil",direct,-16.0058567,-41.2793731
CS 369.2_131,Chris Sherrah,pilosocereus pachycladus,"Serra Escura, Bahia, Brasil",620m,23/11/2009,NA,bcss,"Serra Escura, Bahia, Brasil",direct,-12.7704741,-41.4032006
CS 370.3,Chris Sherrah,pilosocereus pachycladus,"Brumado, Bahia, Brasil",650m,24/11/2009,BB99 location,bcss,"Brumado, Bahia, Brasil",direct,-14.2025099,-41.6701307
CS 371.3,Chris Sherrah,pilosocereus pachycladus,"Rio de Contas, Bahia, Brasil",925m,24/11/2009,BB096 location,bcss,"Rio de Contas, Bahia, Brasil",direct,-13.5803333,-41.8112152
CS 374.3,Chris Sherrah,pilosocereus pachycladus,"Porto Novo, Bahia, Brasil",498m,27/11/2009,NA,bcss,"Porto Novo, Bahia, Brasil",direct,-13.1573721,-43.8707923
CS 377.2,Chris Sherrah,pilosocereus pachycladus,"Seabra, Bahia, Brasil",1129m,30/11/2009,near BB89 location,bcss,"Seabra, Bahia, Brasil",direct,-12.4172071,-41.772051
CS 380.3,Chris Sherrah,pilosocereus pachycladus,"Capim Grosso, Bahia, Brasil",392m,03/12/2009,NA,bcss,"Capim Grosso, Bahia, Brasil",direct,-11.379428,-40.0115228
CS 383.9,Chris Sherrah,pilosocereus pachycladus,"Delfino, Bahia, Brasil",624m,05/12/2009,NA,bcss,"Delfino, Bahia, Brasil",direct,-10.4966113,-41.1048995
CS 385.3,Chris Sherrah,pilosocereus pachycladus,"Rio Morim Mimoso, Bahia, Brasil",1226m,05/12/2009,NA,bcss,"Rio Morim Mimoso, Bahia, Brasil",direct,-11.65531,-38.48586
CS 386.1_154,Chris Sherrah,pilosocereus pachycladus v. pernambucoensis,"Paulo Alfonso, Alagoas, Brasil",306m,07/12/2009,NA,bcss,"Paulo Alfonso, Alagoas, Brasil",direct,-9.1175,-37.73222
FR 1223,Friedrich Ritter,pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed,seed,bcss,"Urandi, Bahia, Brazil",direct,-14.7680766,-42.6573988
FR 1223,Friedrich Ritter,pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed,seed,bcss,"Below Monte Azul, Minas Gerais, Brazil",direct,-15.1586422,-42.8676262
FR 1290,Friedrich Ritter,pilosocereus pachycladus,Brazil,= FR1223,= FR1223,= FR1223,bcss,Brazil,direct,-10.3333333,-53.2
GBG 81/118,German Brazil Group,pilosocereus pachycladus,"Mato Verde to Rio Pardo de Minas, Minas Gerais, Brazil",1981/08,1981/08,=GH118,bcss,"Mato Verde to Rio Pardo de Minas, Minas Gerais, Brazil",direct,-15.40137,-42.3101249
GBG 81/134a,German Brazil Group,pilosocereus pachycladus,"Lecinho de Almerida to Caetité, Bahia, Brazil",1981/08/17,1981/08/17,=GH134a,bcss,"Lecinho de Almerida to Caetité, Bahia, Brazil",direct,-14.061480512785,-42.485424420069
GBG 88/401,German Brazil Group,pilosocereus pachycladus,"Brejinho das Amethistas, Bahia, Brazil",1988,1988,"=HU421, GH401, UES52",bcss,"Brejinho das Amethistas, Bahia, Brazil",direct,-14.26361,-42.52667
GBG 88/421,German Brazil Group,pilosocereus pachycladus,"Mucugê, Bahia, Brazil",1988,1988,"=HU891, GH421, UES77",bcss,"Mucugê, Bahia, Brazil",direct,-13.0053,-41.370271
