field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
CS 314.3,Chris Sherrah,Rhipsalis baccifera,"Bolivia : Chuquisaca (Monteagudo, 1270 m)",NA,08/10/2009,NA,clcactus,"Monteagudo,, Chuquisaca, Bolivia",direct,-19.8028386,-63.9551052
CS 471.3,Chris Sherrah,Rhipsalis baccifera,"Argentina : Catamarca (Alijilan 2, 1112 m)",NA,14/03/2010,NA,clcactus,"Alijilan 2,, Catamarca, Argentina",direct,-28.4489591,-65.7882674
HUN 715,Cyrill Hunkeler,Rhipsalis baccifera,"Campo Quijano, Private Camping, Salta, Argentina 1513m",NA,NA,NA,clcactus,"Campo Quijano, Private Camping, Salta, Argentina",direct,-24.785052179654,-65.459667467185
RF 8,Damien Richard,Rhipsalis baccifera ssp. baccifera,Dominican Republic : Bayahibe (2 km North of Bayahibe),NA,04/2008,"Plante épiphyte assez présente sur les arbres autour de Bayahibe. Lors de ma visite, des fleurs et des fruits étaient visibles.",clcactus,"2 km North of Bayahibe, Bayahibe, Dominican Republic",direct,18.31121,-68.76449
SH 1569,Dennis Sargant (plants collected by Alfred Bernhard Lau),Rhipsalis baccifera,"Mexicó : Oaxaca (La Soledad , upper end Valle Nacional)",NA,29/12/1987,NA,clcactus,"La Soledad , upper end Valle Nacional, Oaxaca, Mexico",direct,17.77579,-96.30174
EVJ 16889,Ernst Jacobus van Jaarsveld,Rhipsalis baccifera,"Mbashe River, Tsolorha, Eastern Cape, South Africa",NA,Ems present,Ems present,clcactus,"Mbashe River, Tsolorha, Eastern Cape, South Africa",direct,-32.24845,28.9016
JA 382,"Florencia Senoret, Juan Pablo Acosta (Spiniflores)",Rhipsalis baccifera,"Dique la Cienaga, north of Salta,  ARGENTINA, 1.250 m",NA,NA,NA,clcactus,"Dique la Cienaga, north of Salta,  ARGENTINA,",direct,-21.9622312,-66.2627037
GJA 7.32,Gérard Ardisson,Rhipsalis baccifera,"Salvador, Bahia, Brazil",NA,01/05/07,NA,clcactus,"Salvador, Bahia, Brazil",direct,-12.9822499,-38.4812772
GM 568,Grzegorz Matuszewski,Rhipsalis baccifera,Mexicó : Tamaulipasaulipas (Tamaulipas),NA,2002,NA,clcactus,"Tamaulipas, Tamaulipasaulipas, Mexico",direct,22.73739605,-98.986256059
IB08714,Ingo Breuer,Rhipsalis baccifera,"South Africa  :  (Oribi Gorge, 396)",NA,04/02/2002,NA,clcactus,"Oribi Gorge, 396, South Africa",direct,-30.7455098,30.285501
JAA 376,Jean André Audissou,Rhipsalis baccifera,"Mt Ibity, Madagascar",NA,August 2003,NA,clcactus,"Mt Ibity, Madagascar",direct,-20.0529192,47.0010566
JM 75837,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Zamora to Loja km 8, Zamora-Chinchipe, 1200m)",NA,NA,NA,clcactus,"Zamora to Loja km 8, Zamora-Chinchipe,, Ecuador",direct,-4.012653177988,-78.982838358651
JM 75840,Jens Madsen,Rhipsalis baccifera,"Ecuador :  (Yanzatza s 5km, Zamora-Chinchipe, 950m)",NA,NA,NA,clcactus,"Yanzatza s 5km, Zamora-Chinchipe,, Ecuador",direct,-4.1712951123,-78.903988776782
pm 21,Ken Preston-Mafham,Rhipsalis baccifera,"Jalapa, Veracruz, Mexicó",NA,NA,NA,clcactus,"Jalapa, Veracruz, Mexico",direct,19.4880323,-96.8080013
HU 1099,"Leopoldo Horst, later, Kurt-Ingo Horst",Rhipsalis baccifera,"Loreto, Rio Grande do Sul, Brazil",NA,NA,NA,clcactus,"Loreto, Rio Grande do Sul, Brazil",direct,-29.7520432,-54.9513224
MZ 561,Milan Zachar,Rhipsalis baccifera,"La Union, Puebla, Mexicó",NA,NA,NA,clcactus,"La Union, Puebla, Mexico",direct,20.264167,-97.875556
TB 421.2,Tomasz Blaczkowski,Rhipsalis baccifera,"Argentina : Salta (Cinco Duraznos  N of El Jardin, 1244 m)",NA,2009/01/22,NA,clcactus,"Cinco Duraznos  N of El Jardin,, Salta, Argentina",direct,-26.0799955,-65.39404
