field_number,collector,species,locality,date,notes
HU 460,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus chrysostele,"Souza to Pombal, Fazienda Tigre, Paraiba, Brazil",NA,NA
HU 939,"Leopoldo Horst, later, Kurt-Ingo Horst",Pilosocereus chrysostele ssp. cearensis,"Tamboril, Ceará, Brazil",NA,NA
RWB 427,Rudi Werner Bueneker,Pilosocereus chrysostele,Brazil  :,NA,NA
