field_number,collector,species,locality,date,notes
PA 0855,Petr Antálek,Thelocactus conothelos,"Mexicó : Tamaulipas (Dr/ Arroyo - La Perdida, 1479 m)",2012,NA
PA 0865,Petr Antálek,Thelocactus conothelos,"Mexicó : Tamaulipas (La Perdida, 1545 m)",2012,NA
PA 0883,Petr Antálek,Thelocactus conothelos  v. sausieri,"Mexicó : Tamaulipas (8 km jihozápadne od Jaumave, 1010 m)",2012,NA
PA 1100,Petr Antálek,Thelocactus conothelos  v. flavus,"Mexicó : San Luis Potosí (Entronque Huizache III, 1409 m)",17/10/2014,NA
PA 1130,Petr Antálek,Thelocactus conothelos  v. flavus,"Mexicó : San Luis Potosí (Za Santa Rita del Rucio, 1494 m)",18/10/2014,NA
PA 1194,Petr Antálek,Thelocactus conothelos,"Mexicó : Tamaulipas (Palmillas - Miquihuana, 1673 m)",21/10/2014,NA
PA 1244,Petr Antálek,Thelocactus conothelos  v. argenteus,"Mexicó : Nuevo León (La Trinidad, 1598 m)",22/10/2014,NA
PC 83,Petr Česal,Thelocactus conothelos,"Dolores, Mexicó",NA,NA
RS 237,Roman Staník,Thelocactus conothelos,Mexicó : Tamaulipas (Tula),26/04/1993,NA
RS 281,Roman Staník,Thelocactus conothelos,"Mexicó : San Luis Potosi (Guerrero, Mexicó on road behind Palmas)",NA,NA
RS 287,Roman Staník,Thelocactus conothelos,"Mexicó : San Luis Potosi (behind Matehuala direction to Doctor Arroyo , La Soledad)",NA,NA
RS 294,Roman Staník,Thelocactus conothelos  f. saussieri,"Mexicó : Nuevo Leon (km26, Route 3?, direction to Doctor Arroyo)",NA,NA
RS 295,Roman Staník,Thelocactus conothelos,Mexicó : Nuevo Leon (Lobera de Portillo),NA,NA
RS 302,Roman Staník,Thelocactus conothelos,Mexicó : Nuevo Leon (Mier y Noriega),NA,NA
RS 311,Roman Staník,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Leon (Aramberi),NA,NA
RS 558,Roman Staník,Thelocactus conothelos  v. argenteus,"Mexicó : Nuevo Leon (Puentes , km25.5 direction to Sandia Victoria)",NA,NA
RS 686,Roman Staník,Thelocactus conothelos,Mexicó : Tamaulipas (Bustamante),NA,NA
RS 687,Roman Staník,Thelocactus conothelos,Mexicó : Tamaulipas (Altamira),NA,NA
RS 737,Roman Staník,Thelocactus conothelos,"Mexicó : Nuevo Leon (Las Jarillas, before Doctor Arroyo)",NA,NA
RS 1240,Roman Staník,Thelocactus conothelos  v. argenteus,"Mexicó : Nuevo Leon (in the pass,  hill on the right, San Ignacio del Texas)",NA,NA
RS 1247,Roman Staník,Thelocactus conothelos,Mexicó : Nuevo Leon (Zaragosa),NA,NA
RS 1273,Roman Staník,Thelocactus conothelos  v. macdowellii,Mexicó : Nuevo Leon (canyon opposite Ojo Caliente),NA,NA
RS 1305,Roman Staník,Thelocactus conothelos  f. ?,"Mexicó : Tamaulipas (down, next to the road, just before Miquihuana slope on the right)",04/07/2004,NA
RUS 046,Safronov Evgeny,Thelocactus conothelos  v. flavus,Mexicó : San Luis Potosi (Santo Domingo),NA,NA
RUS 342,Safronov Evgeny,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Leon (Arramberri-EL Mezquitlan),NA,NA
RUS 344,Safronov Evgeny,Thelocactus conothelos ssp. argenteus,Mexicó : Nuevo Leon (La Trinidad),NA,NA
RUS 436,Safronov Evgeny,Thelocactus conothelos,Mexicó : Tamaulipas (La Florida),21/10/2014,NA
RUS 437,Safronov Evgeny,Thelocactus conothelos,"Mexicó : Tamaulipas (Altamira, Bustamante)",21/10/2014,NA
RUS 438,Safronov Evgeny,Thelocactus conothelos,Mexicó : Tamaulipas (Miquihuana),21/10/2014,NA
RUS 439,Safronov Evgeny,Thelocactus conothelos,Mexicó : Tamaulipas (San Jose del Llano),21/10/2014,NA
RUS 640,Safronov Evgeny,Thelocactus conothelos,Mexicó : Tamaulipas (Ejido La Verdolaga),NA,NA
SB 302,Steven (Steve) Brack,Thelocactus conothelos,Mexicó : San Luis Potosi (Matehuala),NA,NA
SB 311,Steven (Steve) Brack,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Leon (Ascencion),NA,NA
SB 329,Steven (Steve) Brack,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Leon (Amberri),NA,NA
SB 1862,Steven (Steve) Brack,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Leon (Sandia Grande),NA,NA
SB 1966,Steven (Steve) Brack,Thelocactus conothelos,Mexicó : San Luis Potosi (East of Matehuala),NA,NA
VM 227,Vojtech Myšák,Thelocactus conothelos,Mexicó : Nuevo Léon (EI Refugio),NA,NA
VM 266,Vojtech Myšák,Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo Léon (South of Aramberri),NA,NA
VM 271,Vojtech Myšák,Thelocactus conothelos  v. aurantiacus,Mexicó : Tamaulipas (Bustamante),NA,NA
VM 280,Vojtech Myšák,Thelocactus conothelos,Mexicó : San Luis Potosí (North of Matehuala),NA,NA
VM 281,Vojtech Myšák,Thelocactus conothelos,Mexicó : San Luis Potosí (North of Matehuala),NA,NA
VM 315,Vojtech Myšák,Thelocactus conothelos,Mexicó : Tamaulipas (Tula),NA,NA
VM 328,Vojtech Myšák,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Léon (Puentes),NA,NA
VM 372,Vojtech Myšák,Thelocactus conothelos  v. argenteus-aurantiacus,"Mexicó : Nuevo Léon (San Antonio, Peña Nevada)",NA,NA
VM 375,Vojtech Myšák,Thelocactus conothelos  v. argenteus,Mexicó : Nuevo Léon (South-West of Ascension),NA,NA
REPP 513,Werner Reppenhagen,Thelocactus conothelos  v. macdowellii,"Mexicó : Coahuila (Quatro Cienegas, 800m)",17/09/1971,NA
REP 513,Werner Reppenhagen,Thelocactus conothelos  v. macdowellii,"Mexicó : Coahuila (Quatro Cienegas, 800m)",17/09/1971,NA
REP 1056A,Werner Reppenhagen,Thelocactus conothelos,"Mexicó : Nuevo León (Doctor Arroyo, 1900m)",07/11/1975,NA
REPP 1056A,Werner Reppenhagen,Thelocactus conothelos,"Mexicó : Nuevo León (Doctor Arroyo, 1900m)",07/11/1975,NA
REPP 1219,Werner Reppenhagen,Thelocactus conothelos  v. macdowellii,"Mexicó : Nuevo León (Los Muertos, 1300m)",05/12/1976,NA
REP 1219,Werner Reppenhagen,Thelocactus conothelos  v. macdowellii,"Mexicó : Nuevo León (Los Muertos, 1300m)",05/12/1976,NA
WTH 114,Wolter ten Hoeve,Thelocactus conothelos  v. argenteus,"On the hill just South of La Presa, Nuevo León, Mexicó",2001,Many plants
WTH 205,Wolter ten Hoeve,Thelocactus conothelos  v. argenteus,"On a hill to the South of Sandia El Grande, Nuevo León, Mexicó",2002,NA
WTH 450,Wolter ten Hoeve,Thelocactus conothelos,"Low hills about 4km East of Jesús Maria Barones, Nuevo León, Mexicó",2004,NA
WTH 583,Wolter ten Hoeve,Thelocactus conothelos,"Between the rocks higher up a hill along the road to El Aguacate, Tamaulipas, Mexicó",2005,NA
WTH 586,Wolter ten Hoeve,Thelocactus conothelos  v. garciae,"Hills along the road to Bustamante, Tamaulipas, Mexicó",2005,NA
VZ 22,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. argenteus,Mexicó : Nuevo León (Sandia La Victoria),2001,NA
VCCB 22,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. argenteus,Mexicó : Nuevo León (Sandia La Victoria),2001,NA
VZD 022,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. argenteus,Mexicó : Nuevo León (Sandia La Victoria),2001,NA
VZD 138,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. nova,Mexicó : Tamaulipas  (San Miguel de Waldo),2002,NA
VZ 138,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. nova,Mexicó : Tamaulipas  (San Miguel de Waldo),2002,NA
VCCB 138,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. nova,Mexicó : Tamaulipas  (San Miguel de Waldo),2002,NA
VZD 139,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos ssp. garciae,Mexicó : Tamaulipas (San Miguel de Waldo),2002,NA
VCCB 139,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos ssp. garciae,Mexicó : Tamaulipas (San Miguel de Waldo),2002,NA
VZ 139,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos ssp. garciae,Mexicó : Tamaulipas (San Miguel de Waldo),2002,NA
VZD 160,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí  (La Tapona),2003,NA
VZ 160,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí  (La Tapona),2003,NA
VCCB 160,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí  (La Tapona),2003,NA
VCCB 748,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (La Pastoriza),2006,NA
VZD 748,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (La Pastoriza),2006,NA
VZ 748,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (La Pastoriza),2006,NA
VCCB 1046,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (El Mulero),2008,NA
VZ 1046,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (El Mulero),2008,NA
VZD 1046,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : San Luis Potosí (El Mulero),2008,NA
VZD 1168,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : Nuevo León (San Blas),2009,NA
VCCB 1168,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : Nuevo León (San Blas),2009,NA
VZ 1168,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : Nuevo León (San Blas),2009,NA
VZD 1410,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo León (Zaragoza),3-4/2013,NA
VZD 1411,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos  v. aurantiacus,Mexicó : Nuevo León (La Escondida),3-4/2013,NA
VZD 1415,"Zdenek Vasko, Vladislav Zatloukal",Thelocactus conothelos,Mexicó : Nuevo León (Albarcones Las Viejas),3-4/2013,NA
