field_number,collector,species,locality,date,notes
"GC 96,03",Graham Charles,Eriosyce wagenknechtii,Chile :  (Punta Hornus),NA,NA
"GC 706,02",Graham Charles,Eriosyce wagenknechtii,Chile :  (South of Los Hornos),NA,NA
RH 1774,Ralf Hillmann,Eriosyce wagenknechtii,Chile :  (Elqui Punta Hornos 300 m),NA,NA
