field_number,collector,species,locality,date,notes
REPP 1094A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, 1250m)",21/11/1975,NA
REP 1094A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, 1250m)",21/11/1975,NA
REP 1197l,Werner Reppenhagen,Astrophytum myriostigma,"Lerdo, Durango, Mexicó 1200m",26/11/1972,together with REP1197c-1197s and Agave lechuguilla
REP 1197l,Werner Reppenhagen,Astrophytum myriostigma,"Lerdo, Durango, Mexicó 1200m",26/11/1972,together with REP1197c-1197s and Agave lechuguilla
REPP 1202A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, 1250m)",30/11/1976,NA
REP 1202A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, 1250m)",30/11/1976,NA
REPP 1270,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Ciudad Mais, 1200m)",09/01/1977,NA
REP 1270,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Ciudad Mais, 1200m)",09/01/1977,NA
REPP 1433,Werner Reppenhagen,Astrophytum myriostigma  v. strongylogonum,"Mexicó : Tamaulipas (La Inconada, 1000m)",15/09/1978,NA
REP 1433,Werner Reppenhagen,Astrophytum myriostigma  v. strongylogonum,"Mexicó : Tamaulipas (La Inconada, 1000m)",15/09/1978,NA
REP 1472,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Huizache, 1700m)",17/02/1979,NA
REPP 1472,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Huizache, 1700m)",17/02/1979,NA
REPP 2067C,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Tamaulipas (Monte Redondo, 1250m)",16/04/1984,NA
REP 2067C,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Tamaulipas (Monte Redondo, 1250m)",16/04/1984,NA
REP 2158B,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó :  (Guadalcazar to crossing, 1600m)",02/03/1988,NA
REPP 2158B,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó :  (Guadalcazar to crossing, 1600m)",02/03/1988,NA
REP 2273A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Villa de Juarez, 1200m)",28/06/1989,NA
REPP 2273A,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : San Luis Potosí (Villa de Juarez, 1200m)",28/06/1989,NA
REP 2294,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, Sierra Zavaleta, 1200m)",03/07/1989,NA
REPP 2294,Werner Reppenhagen,Astrophytum myriostigma,"Mexicó : Coahuila (Viesca, Sierra Zavaleta, 1200m)",03/07/1989,NA
WCO 28,Wolfgang Colotti,Astrophytum myriostigma,"El Huizache, San Luis Potosi, Mexicó",25/05/09,NA
WCO 29,Wolfgang Colotti,Astrophytum myriostigma,Cerro de la Bola,25/05/09,NA
VZ 89,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (La Morita),2001,NA
VCCB 89,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (La Morita),2001,NA
VZD 089,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (La Morita),2001,NA
VZ 91,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (El Sabinito),2001,NA
VCCB 91,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (El Sabinito),2001,NA
VZD 091,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí (El Sabinito),2001,NA
VZ 119,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (El Sabinito),2002,NA
VZD 119,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (El Sabinito),2002,NA
VCCB 119,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (El Sabinito),2002,NA
VZD 121,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (La Morita),2002,NA
VCCB 121,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (La Morita),2002,NA
VZ 121,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (La Morita),2002,NA
VZ 124,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (Tanque de Los Ángelos),2002,NA
VCCB 124,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (Tanque de Los Ángelos),2002,NA
VZD 124,"Zdenek Vasko, Vladislav Zatloukal",Astrophytum myriostigma,Mexicó : San Luis Potosí  (Tanque de Los Ángelos),2002,NA
