field_number,collector,species,locality,date,notes
IDD 1163,Igor D. Dráb,Epithelantha pachyrhiza,Mexicó : Coahuila (San Antonio de Acatita),15/11/2008,"idd28/08 GPS 33, km 40, 5, pred San Antonio de Acatita, vpravo od cesty na miernych hrebeňoch, stohlavé trsy"
KPP 1929,Karel Pavlíček,Epithelantha pachyrhiza,Mexicó : Nuevo Leon (Mina),NA,NA
