field_number,collector,species,locality,date,notes
KMR 92C,Miroslav Kupčák,Ariocarpus fissuratus,"Ocampo to Galveston, West of Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 92A,Miroslav Kupčák,Ariocarpus fissuratus,"Mexicó : Mexico (Guevara, West of Ocampo)",27/06/09,NA
KMR 92B,Miroslav Kupčák,Ariocarpus fissuratus,"Rancho La Puerta, West of Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 92,Miroslav Kupčák,Ariocarpus fissuratus,"12 km west Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 93,Miroslav Kupčák,Ariocarpus fissuratus,"18 km South-East of Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 93A,Miroslav Kupčák,Ariocarpus fissuratus,"Santo Domingo, South-East Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 93B,Miroslav Kupčák,Ariocarpus fissuratus,"Rancho El Espejo, South-East Ocampo, Coahuila, Mexicó",27/06/09,NA
KMR 94,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"Cerro Bola, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 94A,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"La Virgen, North of Viesca, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 94B,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"Emiliano Zapata, North of Viesca, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 99A,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"North-East of ast of El Capulín, Parras, Coahuila, Mexicó",27/06/09,NA
KMR 99,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"Parras- in gospel mill, Coahuila, Mexicó",27/06/09,NA
KMR 99B,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"West of Abrevadero, Parras, Coahuila, Mexicó",27/06/09,NA
KMR 100,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"Estanque Menchaca, first valley/I. hill, South-West of Parras-Minschaca, Coahuila, Mexicó",27/06/09,NA
KMR 100A,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"Estanque Menchaca first valley/II. hill, South-West of Parras to Minschaca, Coahuila, Mexicó",27/06/09,NA
KMR 101,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexicó",27/06/09,NA
KMR 101A,Miroslav Kupčák,Ariocarpus fissuratus  v. lloydii,"Estanque Menchaca, South-West of Parras to Minschaca, Coahuila, Mexicó",27/06/09,NA
KMR 457,Miroslav Kupčák,Ariocarpus fissuratus,Mexicó : Zacatecas (San Felipe),NA,NA
KMR 460,Miroslav Kupčák,Ariocarpus fissuratus,Mexicó : Zacatecas (Gallegos to San Rafael),NA,NA
KMR 489,Miroslav Kupčák,Ariocarpus fissuratus,"Mexicó : Durango (Siete Zacates, behind village)",NA,NA
NPT 264a,Nigel Paul Taylor,Ariocarpus fissuratus  v. lloydii,"North of Estancia Marte, Coahuila, Mexicó 1300m",NA,NA
NPT 264,Nigel Paul Taylor,Ariocarpus fissuratus  v. lloydii,"Estanzia Marte n 28km, Coahuila, Mexicó 1300m",09/06/09,NA
NPT 268,Nigel Paul Taylor,Ariocarpus fissuratus,USA  :,09/06/09,NA
NPT 268a,Nigel Paul Taylor,Ariocarpus fissuratus,NA,NA,NA
PH 509.011,Paul Hoxey,Ariocarpus fissuratus,"Mexicó : Coahuila (Southern slopes of the Sierra Parras, 1200-1410m)",16/11/03,NA
PH 516.01,Paul Hoxey,Ariocarpus fissuratus,"highway MX30 North of San Pedro de las Colonias, Coahuila, Mexicó 1080-1200m",19/11/03,NA
PH 517.08,Paul Hoxey,Ariocarpus fissuratus,"El Hundido, before Cuatrociénegas, Coahuila, Mexicó 870m",20/11/03,NA
PH 518.06,Paul Hoxey,Ariocarpus fissuratus,"North of Cuatrociénegas, Coahuila, Mexicó 840-970m",20/11/03,NA
PH 520.08,Paul Hoxey,Ariocarpus fissuratus,"Mexicó : Coahuila (Zona de Minas, Sierra la Paila, 1300-1450m)",21/11/03,NA
PH 521.06,Paul Hoxey,Ariocarpus fissuratus,"Mexicó : Coahuila (Zona de Minas, Sierra la Paila, 1430m)",22/11/03,NA
PH 522.012,Paul Hoxey,Ariocarpus fissuratus,"South of the Zona de Minas,Sierra la Paila, Coahuila, Mexicó 1360m",22/11/03,NA
PH 551.01,Paul Hoxey,Ariocarpus fissuratus,"Sierra la Paila, North of San José de la Paila, Coahuila, Mexicó 1630m",09/11/04,NA
PH 558.012,Paul Hoxey,Ariocarpus fissuratus,"South of Cuatrociénegas, Coahuila, Mexicó 780-1020m",12/11/04,NA
PD 13,Pavel Duchek,Ariocarpus fissuratus  intermedius,Mexicó : Durango (Las Animas),NA,NA
PD 43,Pavel Duchek,Ariocarpus fissuratus,Mexicó : Coahuila (Alicante),NA,NA
PD 45,Pavel Duchek,Ariocarpus fissuratus,Mexicó : Coahuila (San Jose de Carranza),NA,NA
PHA   1873,Pavel Heřtus,Ariocarpus fissuratus,Mexicó :  (Quatro Cienegas),2014,NA
PP 176,Pavel Pavlíček,Ariocarpus fissuratus,USA : Texas (Big Bend),NA,NA
PP 352,Pavel Pavlíček,Ariocarpus fissuratus  hintonii,"Mexicó : San Luis Potosi (El Herrero, Matehuala)",ident. pp 406,ident. pp 406
PP 353,Pavel Pavlíček,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatrocienegas),NA,NA
PP 406,Pavel Pavlíček,Ariocarpus fissuratus  hintonii,Mexicó : San Luis Potosi (Matehuala),NA,NA
PP 539,Pavel Pavlíček,Ariocarpus fissuratus  intermedius,"Mexicó : Coahuila (by factory, Cuatrocienegas)",NA,NA
PP 555,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Coahuila (Villa Real),NA,NA
PP 565,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Coahuila (San Raphael),NA,NA
PP 717,Pavel Pavlíček,Ariocarpus fissuratus,USA : Texas (Hot Springs),NA,NA
PP 722,Pavel Pavlíček,Ariocarpus fissuratus,USA : Texas (Terlingua),NA,NA
PP 802,Pavel Pavlíček,Ariocarpus fissuratus,Mexicó : Chihuahua (Coyame),NA,NA
PP 803,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Coahuila (Parras),NA,NA
PP 989,Pavel Pavlíček,Ariocarpus fissuratus  v. lloydii,Mexicó : San Luis Potosi (El Hundido),NA,NA
PP 1010,Pavel Pavlíček,Ariocarpus fissuratus,Mexicó : Coahuila (La Linda),severní forma,severní forma
PP 1011,Pavel Pavlíček,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Palmas),NA,NA
PP 1085,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Coahuila (East of Viesca),NA,NA
PP 1112,Pavel Pavlíček,Ariocarpus fissuratus  minimus,USA : Texas (Terlingua),NA,NA
PP 1168,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Durango (Rio Nazas),NA,NA
PP 1357,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,"Mexicó : Coahuila (La Peňa, srra Parras)",NA,NA
PP 1389,Pavel Pavlíček,Ariocarpus fissuratus  intermedius f. gigant,Mexicó : Coahuila (Sierra de la Paila),NA,NA
PP 1415,Pavel Pavlíček,Ariocarpus fissuratus,Mexicó : Coahuila (15 km vých Ocampo),NA,NA
PP 1469,Pavel Pavlíček,Ariocarpus fissuratus  lloydii,Mexicó : Coahuila (Tanque Menchaca),NA,NA
PP 1578,Pavel Pavlíček,Ariocarpus fissuratus,"Mexicó : Coahuila (Ejido Lucio Blanco,)",NA,NA
PAR 322,Pavlosek Rostislav,Ariocarpus fissuratus  v. lloydii,"Mexicó : Zacatecas (El Florenio, San Felipe)",22/03/2006,NA
PAR 327,Pavlosek Rostislav,Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas (Gallegos),23/03/2006,NA
PAR 345,Pavlosek Rostislav,Ariocarpus fissuratus,"Mexicó : Coahuila (El Capulin, Sierra El Capulin, North of Monclova)",27/03/2006,NA
PAR 346,Pavlosek Rostislav,Ariocarpus fissuratus,"Mexicó : Coahuila (El Capulin, Sierra El Capulin, North of Monclova)",27/03/2006,NA
PAR 348,Pavlosek Rostislav,Ariocarpus fissuratus,"Mexicó : Coahuila (Echido Nuevo Sacramento, Sierra El Capulin, North of Monclova)",28/03/2006,NA
PAR 349,Pavlosek Rostislav,Ariocarpus fissuratus,Mexicó : Coahuila (Los Charcos),28/03/2006,small form
PA 0221,Petr Antálek,Ariocarpus fissuratus  v.,"Mexicó : San Luis Potosí (El Herrero, 1513 m)",2011,NA
PA 0524,Petr Antálek,Ariocarpus fissuratus  v. intermedius,"Mexicó : Coahuila (Laguna de Mayrán II, severní okraj, 1127 m)",2012,NA
PA 0574,Petr Antálek,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Parras de La Fuente II, 1594 m)",2012,NA
PA 0613,Petr Antálek,Ariocarpus fissuratus  v. intermedius,"Mexicó : Coahuila (8 km za Bouillas del Refugio, 1300 m)",2012,NA
PA 0622,Petr Antálek,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (El Amparo I, 1200 m)",2012,NA
PA 0638,Petr Antálek,Ariocarpus fissuratus  v. intermedius,"Mexicó : Coahuila (20 km severovýchodne od Viesca I, 1145 m)",2012,NA
PA 0649,Petr Antálek,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (20 km severovýchodne od Viesca II, 1159 m)",2012,NA
PA 0725,Petr Antálek,Ariocarpus fissuratus,"Mexicó : Coahuila (El Hundido, 857 m)",2012,NA
PA 0729,Petr Antálek,Ariocarpus fissuratus  v. intermedius,"Mexicó : Coahuila (Cuatrocienegas, 3 km západne, 735 m)",2012,NA
PA 1458,Petr Antálek,Ariocarpus fissuratus,"Mexicó : Coahuila (Severní Coahuila, 1129 m)",30/10/2014,NA
PA 1469,Petr Antálek,Ariocarpus fissuratus,"Mexicó : Coahuila (12 km západne od Ocampo, 1501 m)",1/11/2014,NA
PA 1506,Petr Antálek,Ariocarpus fissuratus,"Mexicó : Durango (Bermejillo, 1162 m)",3/11/2014,NA
PA 1518,Petr Antálek,Ariocarpus fissuratus  v. lloydii,"Mexicó : Durango (Západne od Nazas, 1398 m)",3/11/2014,NA
PC 24,Petr Česal,Ariocarpus fissuratus,"Flat limestone rocks, gravel, Cuatrocienegas, Coahuila, Mexicó",NA,NA
PC 26,Petr Česal,Ariocarpus fissuratus,"Low hills, gravel, Ocampo, Coahuila, Mexicó",NA,NA
PC 40,Petr Česal,Ariocarpus fissuratus  v. lloydii,"Limestone gravel, without vegetation, Parras, Coahuila, Mexicó",NA,NA
PS 050,Potemkin Sergey,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),NA,NA
PS 051,Potemkin Sergey,Ariocarpus fissuratus,Mexicó : Coahuila (west of Ocampo),NA,NA
PS 243,Potemkin Sergey,Ariocarpus fissuratus,Mexicó : Coahuila (El Hundido),NA,NA
RP 92,Ralph Peters,Ariocarpus fissuratus,USA : Texas (Brewster County),avr-92,NA
RP 160,Ralph Peters,Ariocarpus fissuratus,USA : Texas (West of Terlingua  Brewster),11/10,NA
RS 279,Roman Staník,Ariocarpus fissuratus  v. hintonii,"Mexicó : San Luis Potosi (Palmas , before Matehuala)",30/04/1993,NA
RS 392,Roman Staník,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras),NA,NA
RS 420,Roman Staník,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),13/05/1993,NA
RS 581A,Roman Staník,Ariocarpus fissuratus,"Mexicó : Coahuila (km162 , direction to Cuatro Ciénegas)",NA,NA
RS 1088,Roman Staník,Ariocarpus fissuratus  v. intermedius,Mexicó : Durango (San Rafael),NA,NA
RS 1118,Roman Staník,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (first slope of Paila right from the road, terrace behind Estacion Marte)",NA,NA
RS 1134,Roman Staník,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Paila, 30.5km from camping in Pareñ os)",NA,NA
RS 1255,Roman Staník,Ariocarpus fissuratus,"Mexicó : Coahuila (before Ejido Nuevo Yucatan, Paila)",28/06/2004,NA
RS 2047,Roman Staník,Ariocarpus fissuratus,USA :,28/06/2009,NA
RS 2054,Roman Staník,Ariocarpus fissuratus,USA :,29/06/2009,NA
RUS 346,Safronov Evgeny,Ariocarpus fissuratus,Mexicó : Coahuila (Ocampo),NA,NA
RUS 347,Safronov Evgeny,Ariocarpus fissuratus,Mexicó : Coahuila (Rancho Las Pacas),NA,NA
RUS 393,Safronov Evgeny,Ariocarpus fissuratus,Mexicó : Coahuila (San Miguel),10/2013,NA
RUS 453,Safronov Evgeny,Ariocarpus fissuratus,Mexicó : Coahuilla (Region Acuna),30/10/2014,NA
RUS 454,Safronov Evgeny,Ariocarpus fissuratus,Mexicó : Coahuilla (El Hundido),02/11/2014,NA
RUS 474,Safronov Evgeny,Ariocarpus fissuratus  v. hintonii,"Mexicó : San Luis Potosi (Sierra Jicote, 1814 m)",NA,NA
SB 403,Steven (Steve) Brack,Ariocarpus fissuratus,USA : Texas (Crockett County),NA,NA
SB 413,Steven (Steve) Brack,Ariocarpus fissuratus,USA : Texas (Brewster County),NA,NA
SB 503,Steven (Steve) Brack,Ariocarpus fissuratus  v. intermedius,Mexicó : Coahuila (State Capital),NA,NA
SB 1156,Steven (Steve) Brack,Ariocarpus fissuratus  v. lloydii,Mexicó : Durango (Rodeo),NA,NA
SB 1568,Steven (Steve) Brack,Ariocarpus fissuratus  v. hintonii,Mexicó :  (South-West of Matehuala),NA,NA
DU 3,Ulrich Dosedal,Ariocarpus fissuratus,"on hill, about 30km West of Cuatrocienegas up to Microonda, Coahuila, Mexicó",NA,NA
DU 6,Ulrich Dosedal,Ariocarpus fissuratus  v. hintonii,"La Palma, South of Matehuala, San Luis Potosi, Mexicó",NA,NA
DU 88,Ulrich Dosedal,Ariocarpus fissuratus  v. lloydii,"El Amparo 500m towards Parras, Coahuila, Mexicó",NA,NA
DU 89,Ulrich Dosedal,Ariocarpus fissuratus  v. intermedius ?,"Cuatrocienegas MEX30 towards San Pedro, near """"balneario"""", Coahuila, Mexicó",NA,NA
DU 107,Ulrich Dosedal,Ariocarpus fissuratus  sp.,"A bit east of the Northern road, about 20 to 30km North of Estancia Marte Coahuila, Mexicó",NA,NA
DU 119,Ulrich Dosedal,Ariocarpus fissuratus,"km 44 of the Road to the West of the Microwave tower at Cuatro Cienegas, Coahuila, Mexicó",NA,NA
DU 132,Ulrich Dosedal,Ariocarpus fissuratus ssp. lloydii,"Hill at Western edge of Parras, Coahuila, Mexicó 1185m",NA,NA
DU 133,Ulrich Dosedal,Ariocarpus fissuratus ssp. intermedius ?,"Towards Chem. El Ray, North of San Pedro de Las Colonias, Coahuila, Mexicó 1321m",NA,NA
VS 179,Vladimir Sorma,Ariocarpus fissuratus,USA : Texas (4km North of Hot Springs),NA,NA
VM 248,Vojtech Myšák,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatrociénegas),NA,NA
VM 284,Vojtech Myšák,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosí (El Herero),NA,NA
VM 298,Vojtech Myšák,Ariocarpus fissuratus,Mexicó : Chihuahua (Coyame),NA,NA
VM 301,Vojtech Myšák,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Sierra de Parras),NA,NA
VM 435,Vojtech Myšák,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Palmas),NA,NA
REP 445,Werner Reppenhagen,Ariocarpus fissuratus,"Mexicó : Coahuila (Ojo Caliente, 1600m)",07/09/1971,NA
REPP 445,Werner Reppenhagen,Ariocarpus fissuratus,"Mexicó : Coahuila (Ojo Caliente, 1600m)",07/09/1971,NA
REPP 454,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Parras, 1600m)",10/09/1971,NA
REP 454,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Parras, 1600m)",10/09/1971,NA
REPP 485,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Perote by Parras, 1600m)",13/09/1971,NA
REP 485,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Perote by Parras, 1600m)",13/09/1971,NA
REP 500,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Quatro Cienegas, 900m)",16/09/1971,NA
REPP 500,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Quatro Cienegas, 900m)",16/09/1971,NA
REP 510,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Quatro Cienegas, 800m)",17/09/1971,NA
REPP 510,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Quatro Cienegas, 800m)",17/09/1971,NA
REPP 1083D,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Parras, 1600m)",18/11/1975,NA
REP 1083D,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Parras, 1600m)",18/11/1975,NA
REPP 1186,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Cuatro Cienegas, 800m)",24/11/1976,NA
REP 1186,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Cuatro Cienegas, 800m)",24/11/1976,NA
REP 1196A,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Ocampo, 1350m)",26/11/1976,NA
REPP 1196A,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Ocampo, 1350m)",26/11/1976,NA
REP 1216B,Werner Reppenhagen,Ariocarpus fissuratus,"Mexicó : Nuevo León (Huasteca Canon, 900m)",04/12/1976,NA
REPP 1216B,Werner Reppenhagen,Ariocarpus fissuratus,"Mexicó : Nuevo León (Huasteca Canon, 900m)",04/12/1976,NA
REPP 2288,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Cuatro Cienegas, 800m)",02/07/1989,NA
REP 2288,Werner Reppenhagen,Ariocarpus fissuratus  v. lloydii,"Mexicó : Coahuila (Cuatro Cienegas, 800m)",02/07/1989,NA
WCO 48,Wolfgang Colotti,Ariocarpus fissuratus,"South of Durango, Mexicó",25/05/09,NA
WTH 93,Wolter ten Hoeve,Ariocarpus fissuratus  v. intermedius,"Almost on top of the hill to the South-East of Antiguos Mineras del Norte, Coahuila, Mexicó",2001,NA
VCCB 204,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (pred Puertecitos),2003,NA
VZ 204,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (pred Puertecitos),2003,NA
VZD 204,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (pred Puertecitos),2003,NA
VZ 339,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Shafter, Hudspeth Co.)",2004,NA
VCCB 339,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Shafter, Hudspeth Co.)",2004,NA
VZD 339,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Shafter, Hudspeth Co.)",2004,NA
VZ 341,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Terlingua, Brewster Co.)",2004,NA
VCCB 341,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Terlingua, Brewster Co.)",2004,NA
VZD 341,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Terlingua, Brewster Co.)",2004,NA
VCCB 343,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Santiago Mts., Brewster Co.)",2004,NA
VZ 343,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Santiago Mts., Brewster Co.)",2004,NA
VZD 343,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Santiago Mts., Brewster Co.)",2004,NA
VZ 405,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Hacienda El Capulín),2004,NA
VCCB 405,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Hacienda El Capulín),2004,NA
VZD 405,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Hacienda El Capulín),2004,NA
VZ 408,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Puerto de San José),2004,NA
VCCB 408,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Puerto de San José),2004,NA
VZD 408,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Puerto de San José),2004,NA
VCCB 409,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Sacramento),2004,NA
VZD 409,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Sacramento),2004,NA
VZ 409,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho Sacramento),2004,NA
VCCB 410,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho de Figueroa),2004,NA
VZD 410,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho de Figueroa),2004,NA
VZ 410,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Rancho de Figueroa),2004,NA
VZD 412,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Laguna de la Leche),2004,NA
VCCB 412,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Laguna de la Leche),2004,NA
VZ 412,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Laguna de la Leche),2004,NA
VZD 414,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (La Jarita),2004,NA
VZ 414,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (La Jarita),2004,NA
VCCB 414,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (La Jarita),2004,NA
VZ 415,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Los Americanos),2004,NA
VZD 415,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Los Americanos),2004,NA
VCCB 415,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila  (Los Americanos),2004,NA
VZ 423,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Felipe .),2004,NA
VZD 423,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Felipe .),2004,NA
VCCB 423,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Felipe .),2004,NA
VCCB 424,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Rafael .),2004,NA
VZ 424,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Rafael .),2004,NA
VZD 424,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas  (San Rafael .),2004,NA
VZ 442,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Chaffin Place, Presidio Co.)",2005,NA
VCCB 442,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Chaffin Place, Presidio Co.)",2005,NA
VZD 442,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Chaffin Place, Presidio Co.)",2005,NA
VZ 448,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Hot Springs, Brewster Co.)",2005,NA
VCCB 448,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Hot Springs, Brewster Co.)",2005,NA
VZD 448,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,"USA : Texas (Hot Springs, Brewster Co.)",2005,NA
VZ 570,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Durango  (Siele Zacates),2006,NA
VCCB 570,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Durango  (Siele Zacates),2006,NA
VZD 570,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Durango  (Siele Zacates),2006,NA
VCCB 706,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Alicante),2006,NA
VZD 706,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Alicante),2006,NA
VZ 706,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Alicante),2006,NA
VCCB 708,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Censontle),2006,NA
VZD 708,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Censontle),2006,NA
VZ 708,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Censontle),2006,NA
VZD 793,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas (San Miguel),2007,NA
VCCB 793,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas (San Miguel),2007,NA
VZ 793,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus  v. lloydii,Mexicó : Zacatecas (San Miguel),2007,NA
VZD 1030,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Durango  (La Trinidad),2008,NA
VCCB 1030,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Durango  (La Trinidad),2008,NA
VZ 1030,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus ssp. lloydii,Mexicó : Durango  (La Trinidad),2008,NA
VZ 1092,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Castillon),2008,NA
VZD 1092,"Zdenek Vasko, Vladislav Zatloukal",Ariocarpus fissuratus,Mexicó : Coahuila (Castillon),2008,NA
