field_number,collector,species,locality,date,notes
EFA 5018,Edward Frederick Anderson,Ariocarpus fissuratus,"Estancia Marte, Coahuila, Mexicó",NA,NA
EFA 6192,Edward Frederick Anderson,Ariocarpus fissuratus,"Big Bend National Park, Texas, USA",NA,NA
B 1425,Elwood R. Blakley,Ariocarpus fissuratus,USA : Texas (Tornillo Creek),NA,NA
LLOYD 21,Francis Ernest Lloyd,Ariocarpus fissuratus,"Escondido Creek, Texas, USA",NA,NA
LLOYD 34,Francis Ernest Lloyd,Ariocarpus fissuratus  v. lloydii,"Hacienda de Cedros, Zacatecas, Mexicó",NA,NA
GL 790,Gary Loos,Ariocarpus fissuratus,USA : Texas (Brewster County),NA,NA
GL 795,Gary Loos,Ariocarpus fissuratus  v. hintonii,Mexicó : Nuevo Leon (Matehuala),NA,NA
GCG 10586,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus,"USA : Texas (SE of Fort Stockton, Pecos Co.)",NA,NA
GCG 10634,GCG - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (Black Gap WMA, Brewster Co.)",NA,NA
GCG 10708,GCG - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (Ft.Stockton-Bakersfield, Pecos Co.)",NA,NA
GCG 10877,GCG - gerardo.cz,Ariocarpus fissuratus ssp. lloydii f.,Mexicó : Coahuila (5 de Mayo),NA,NA
GCG 10932,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus f.,"Mexicó : Chihuahua (1,5km before Tres Marias, Mpo.Manuel Benavides)",very nice form,very nice form
GCG 10934,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus f.,"Mexicó : Chihuahua (1km past Tres Marias, Mpo.Manuel Benavides)",NA,NA
GCG 10935,GCG - gerardo.cz,Ariocarpus fissuratus ssp. fissuratus,"Mexicó : Chihuahua (Puente El Ararito before El Alamo, Coyame - Ojinaga)",NA,NA
